,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
0,65438,sales & marketing,region_7,Master's & above,f,sourcing,1,35,5.0,8,1,0,49,0
1,65141,operations,region_22,Bachelor's,m,other,1,30,5.0,4,0,0,60,0
2,7513,sales & marketing,region_19,Bachelor's,m,sourcing,1,34,3.0,7,0,0,50,0
3,2542,sales & marketing,region_23,Bachelor's,m,other,2,39,1.0,10,0,0,50,0
4,48945,technology,region_26,Bachelor's,m,other,1,45,3.0,2,0,0,73,0
5,9403,sales & marketing,region_31,Bachelor's,m,other,1,34,1.0,4,0,0,51,0
6,17436,sales & marketing,region_31,Bachelor's,m,other,1,34,5.0,8,1,0,46,0
7,54461,operations,region_15,Bachelor's,m,other,1,37,3.0,9,0,0,59,0
8,12067,procurement,region_14,Bachelor's,m,other,1,35,3.0,7,0,0,75,0
9,33332,operations,region_15,,m,sourcing,1,41,4.0,11,0,0,57,0
10,58789,finance,region_11,Bachelor's,f,other,1,28,3.0,4,0,0,63,0
11,71177,procurement,region_5,Bachelor's,m,other,1,27,,1,0,0,70,0
12,52057,finance,region_22,Master's & above,m,sourcing,2,39,5.0,7,0,0,59,0
13,26585,technology,Region_22,Bachelor's,m,other,1,27,5.0,3,1,0,83,0
14,37749,procurement,Region_26,Bachelor's,m,other,1,31,5.0,4,1,0,68,0
15,2370,technology,Region_26,Bachelor's,m,other,1,33,4.0,4,0,0,79,0
16,8219,analytics,Region_5,Bachelor's,m,other,1,29,5.0,3,1,0,80,0
17,74759,sales & marketing,Region_4,Bachelor's,m,sourcing,1,26,,1,0,0,44,0
18,27395,procurement,Region_15,Bachelor's,m,sourcing,1,37,5.0,10,1,0,72,0
19,58536,finance,Region_31,Bachelor's,m,other,2,26,1.0,2,0,0,61,0
20,35465,sales & marketing,Region_7,,f,sourcing,1,24,1.0,2,0,0,48,0
21,51756,operations,Region_2,Bachelor's,m,sourcing,2,57,4.0,6,0,0,58,0
22,57011,analytics,Region_22,Bachelor's,m,other,2,27,5.0,3,1,0,87,0
23,77064,sales & marketing,Region_22,Bachelor's,m,other,1,40,2.0,4,1,0,47,0
24,64062,technology,Region_28,Bachelor's,m,sourcing,1,33,4.0,4,1,0,75,0
25,47123,sales & marketing,Region_7,Bachelor's,f,sourcing,1,40,5.0,3,0,0,47,0
26,56275,sales & marketing,Region_1,Master's & above,m,other,1,42,5.0,5,1,0,51,0
27,58304,sales & marketing,Region_28,Bachelor's,m,sourcing,1,33,5.0,6,1,0,51,1
28,25014,technology,Region_15,Bachelor's,m,other,1,34,3.0,10,0,0,80,0
29,40097,operations,Region_2,Bachelor's,f,other,2,23,4.0,2,1,0,57,0
30,23560,hr,Region_2,Bachelor's,m,sourcing,1,59,4.0,26,1,0,52,0
31,17423,sales & marketing,Region_2,,m,other,3,24,2.0,2,0,0,48,0
32,61758,analytics,Region_2,Bachelor's,m,other,1,44,5.0,12,0,0,88,0
33,75009,procurement,Region_17,Bachelor's,f,sourcing,1,50,5.0,11,0,0,71,0
34,17876,procurement,Region_13,Master's & above,f,other,1,37,4.0,4,0,0,71,0
35,36924,technology,Region_16,Bachelor's,m,sourcing,1,40,3.0,11,0,0,80,0
36,50408,sales & marketing,Region_20,Bachelor's,m,sourcing,1,30,3.0,3,1,0,49,0
37,18013,procurement,Region_2,Master's & above,f,sourcing,1,56,3.0,12,0,0,73,0
38,24104,finance,Region_2,Bachelor's,m,sourcing,1,20,4.0,2,1,0,60,0
39,32083,sales & marketing,Region_25,Bachelor's,f,sourcing,1,31,3.0,8,0,0,48,0
40,38330,procurement,Region_15,Bachelor's,m,sourcing,1,40,3.0,12,1,0,65,0
41,33690,hr,Region_22,Bachelor's,m,other,1,30,1.0,6,0,0,50,0
42,73161,operations,Region_22,Bachelor's,m,other,1,39,3.0,5,1,0,62,0
43,13596,analytics,Region_31,Bachelor's,m,other,2,26,2.0,2,0,0,85,0
44,45709,sales & marketing,region_31,Bachelor's,f,other,1,29,,1,0,0,49,0
45,32709,r&d,region_22,Master's & above,m,sourcing,1,40,3.0,5,1,0,84,0
46,26599,sales & marketing,region_16,Bachelor's,m,other,2,27,,1,1,0,47,0
47,32656,sales & marketing,region_19,Bachelor's,m,other,1,40,4.0,7,0,0,52,0
48,17673,sales & marketing,region_4,Master's & above,m,other,1,50,4.0,17,1,0,47,1
49,3113,sales & marketing,region_29,Bachelor's,m,sourcing,1,25,3.0,3,0,0,53,0
50,9150,analytics,region_22,Bachelor's,f,other,1,28,,1,1,0,80,0
51,14107,sales & marketing,region_1,Master's & above,m,sourcing,1,35,4.0,2,1,0,52,0
52,58747,r&d,region_26,Bachelor's,m,other,1,34,5.0,5,0,0,87,0
53,3342,operations,region_13,Master's & above,f,sourcing,1,31,3.0,3,1,0,58,0
54,77981,finance,region_22,Bachelor's,m,other,1,27,,1,1,1,58,1
55,16502,sales & marketing,region_22,Bachelor's,m,sourcing,1,27,,1,0,0,61,1
56,73729,procurement,region_10,Bachelor's,m,other,1,30,4.0,6,1,0,75,0
57,45624,analytics,region_31,Bachelor's,m,other,1,30,3.0,7,1,0,84,1
58,75677,operations,region_22,Bachelor's,f,other,1,50,5.0,5,1,0,59,0
59,24040,technology,region_22,Master's & above,m,other,1,34,5.0,7,1,0,78,1
60,68082,sales & marketing,region_2,Master's & above,f,sourcing,1,41,1.0,12,0,0,52,0
61,51786,sales & marketing,region_16,Bachelor's,m,sourcing,1,32,4.0,6,0,0,44,0
62,77577,sales & marketing,region_7,Bachelor's,m,other,1,50,3.0,14,0,0,52,0
63,54782,sales & marketing,region_2,Master's & above,m,sourcing,1,38,4.0,2,1,0,49,1
64,52368,sales & marketing,region_27,Bachelor's,m,sourcing,2,29,1.0,5,0,0,51,0
65,75103,sales & marketing,region_30,Bachelor's,m,sourcing,1,35,4.0,3,1,0,53,0
66,7520,analytics,region_2,Bachelor's,m,other,1,25,3.0,2,1,0,91,0
67,59147,sales & marketing,region_22,Bachelor's,m,sourcing,1,30,3.0,3,0,0,58,1
68,53092,technology,region_2,Bachelor's,m,referred,1,47,3.0,7,0,0,79,0
69,34564,operations,region_4,Master's & above,m,sourcing,1,35,2.0,7,0,0,53,0
70,66013,sales & marketing,region_2,,m,sourcing,2,25,3.0,2,0,0,53,0
71,77135,r&d,region_22,Bachelor's,m,other,1,36,4.0,8,0,0,82,0
72,44575,legal,region_7,Bachelor's,m,other,1,29,,1,0,0,65,1
73,47498,operations,region_11,Master's & above,f,sourcing,1,42,5.0,11,1,0,60,1
74,20798,hr,region_20,Bachelor's,f,sourcing,1,28,2.0,6,0,0,52,0
75,69094,sales & marketing,region_2,,m,sourcing,1,39,1.0,9,0,0,49,0
76,22261,procurement,region_7,Master's & above,m,sourcing,1,32,5.0,3,1,0,69,1
77,9589,sales & marketing,region_31,Bachelor's,f,other,1,31,,1,0,0,51,0
78,62658,sales & marketing,region_2,,f,sourcing,1,20,,1,0,0,55,0
79,21628,analytics,region_12,Bachelor's,m,other,1,34,3.0,8,0,0,85,0
80,68484,procurement,region_2,Master's & above,m,sourcing,2,46,4.0,3,1,0,74,0
81,44523,hr,region_2,Master's & above,m,other,1,47,3.0,7,0,0,44,0
82,35420,operations,region_2,Bachelor's,f,other,1,44,4.0,13,0,0,53,0
83,43923,analytics,region_14,Bachelor's,m,sourcing,1,31,4.0,4,1,0,86,0
84,64109,technology,region_26,Bachelor's,f,sourcing,1,23,,1,0,0,77,0
85,41983,operations,region_2,Bachelor's,f,sourcing,1,33,3.0,5,0,0,57,0
86,21440,sales & marketing,region_31,Bachelor's,m,other,1,41,3.0,12,1,0,52,0
87,51256,finance,region_2,Master's & above,m,other,1,60,5.0,17,0,0,59,0
88,66635,operations,region_15,Bachelor's,m,other,1,31,5.0,4,1,0,63,1
89,16027,operations,region_26,Bachelor's,f,other,1,37,3.0,11,0,0,57,0
90,46020,analytics,region_7,Bachelor's,m,sourcing,2,39,3.0,4,1,0,83,0
91,28509,sales & marketing,region_7,Bachelor's,m,other,1,40,5.0,8,1,0,54,0
92,33587,sales & marketing,region_28,Master's & above,m,sourcing,1,42,5.0,4,0,0,50,0
93,21387,operations,region_13,Bachelor's,m,other,1,35,4.0,6,1,0,57,1
94,55927,operations,region_13,Master's & above,f,sourcing,1,41,4.0,6,1,0,62,0
95,60763,procurement,region_2,Bachelor's,f,other,1,23,3.0,2,0,0,73,0
96,53167,sales & marketing,region_16,Bachelor's,m,sourcing,2,31,3.0,4,0,0,50,0
97,32672,analytics,region_22,Master's & above,m,other,1,42,2.0,19,0,0,79,0
98,48785,sales & marketing,region_22,Bachelor's,m,other,3,29,4.0,2,0,0,49,0
99,51444,hr,region_13,Bachelor's,f,other,1,30,,1,1,0,54,0
100,75778,operations,region_2,Bachelor's,m,sourcing,1,41,4.0,6,1,0,63,0
101,14141,sales & marketing,region_7,Bachelor's,f,other,1,40,3.0,2,1,0,90,1
102,17894,sales & marketing,region_2,Bachelor's,m,referred,1,34,5.0,5,0,0,49,0
103,54380,sales & marketing,region_4,Bachelor's,f,other,1,31,4.0,2,0,0,46,0
104,51892,technology,region_2,Bachelor's,m,other,1,27,5.0,2,0,0,86,1
105,3625,procurement,region_21,Bachelor's,m,sourcing,4,30,3.0,2,0,0,72,0
106,38771,procurement,region_23,Bachelor's,f,other,1,27,4.0,4,1,0,72,1
107,18959,technology,region_15,Bachelor's,m,other,4,36,4.0,7,0,0,82,0
108,21137,technology,Region_2,Bachelor's,m,sourcing,1,35,4.0,6,0,0,77,0
109,26097,sales & marketing,Region_25,Master's & above,m,other,1,34,5.0,7,1,0,51,1
110,38052,procurement,Region_34,Master's & above,m,sourcing,1,37,5.0,3,0,1,92,1
111,41746,operations,Region_22,Bachelor's,f,sourcing,1,27,,1,1,0,58,0
