,College_Name,State,Public_or_Private,Apps_received,Apps_accepted,New_students,Percent_from_top_10,Percent_from_top_25,FT_undergrads,PT_undergrads,in-state_tuition,out-of-state_tuition,room,board,fees,book_costs,personal_costs,PhD_Faculty,faculty_student_ratio,Graduation_rate
0,Alaska Pacific University,AK,2,193.0,146.0,55.0,16.0,44.0,249.0,869.0,7560.0,7560.0,1620.0,2500.0,130.0,800.0,1500.0,76.0,11.9,15.0
1,University of Alaska at Fairbanks,AK,1,1852.0,1427.0,928.0,,,3885.0,4519.0,1742.0,5226.0,1800.0,1790.0,155.0,650.0,2304.0,67.0,10.0,
2,University of Alaska Southeast,AK,1,146.0,117.0,89.0,4.0,24.0,492.0,1849.0,1742.0,5226.0,2514.0,2250.0,34.0,500.0,1162.0,39.0,9.5,39.0
3,University of Alaska at Anchorage,AK,1,2065.0,1598.0,1162.0,,,6209.0,10537.0,1742.0,5226.0,2600.0,2520.0,114.0,580.0,1260.0,48.0,13.7,
4,Alabama Agri. & Mech. Univ.,AL,1,2817.0,1920.0,984.0,,,3958.0,305.0,1700.0,3400.0,1108.0,1442.0,155.0,500.0,850.0,53.0,14.3,40.0
5,Faulkner University,AL,2,345.0,320.0,179.0,,27.0,1367.0,578.0,5600.0,5600.0,1550.0,1700.0,300.0,350.0,,52.0,32.8,55.0
6,University of Montevallo,AL,1,1351.0,892.0,570.0,18.0,78.0,2385.0,331.0,2220.0,4440.0,,,124.0,300.0,600.0,72.0,18.9,51.0
7,Alabama State University,AL,1,4639.0,3272.0,1278.0,,,4051.0,405.0,1500.0,3000.0,1960.0,,84.0,500.0,,48.0,18.7,15.0
8,Auburn University-Main Campus,AL,1,7548.0,6791.0,3070.0,25.0,57.0,16262.0,1716.0,2100.0,6300.0,,,,600.0,1908.0,85.0,16.7,69.0
9,Birmingham-Southern College,AL,2,805.0,588.0,287.0,67.0,88.0,1376.0,207.0,11660.0,11660.0,2050.0,2430.0,120.0,400.0,900.0,74.0,14.0,72.0
10,University of North Alabama,AL,1,1087.0,702.0,625.0,,40.0,3772.0,1034.0,1704.0,2970.0,1336.0,1200.0,20.0,500.0,,62.0,19.4,76.0
11,Huntingdon College,AL,2,608.0,520.0,127.0,26.0,47.0,538.0,126.0,8080.0,8080.0,1380.0,2540.0,100.0,500.0,1100.0,63.0,11.4,44.0
12,Jacksonville State University,AL,1,1627.0,1413.0,887.0,,,5160.0,1475.0,1740.0,2610.0,1030.0,1570.0,85.0,570.0,1500.0,66.0,20.1,33.0
13,Judson College,AL,2,313.0,228.0,137.0,10.0,30.0,552.0,67.0,5780.0,5780.0,,,,,,70.0,17.9,43.0
14,Livingston University,AL,1,1206.0,957.0,444.0,,,1627.0,132.0,1740.0,1740.0,1162.0,1287.0,243.0,570.0,2100.0,58.0,18.8,36.0
15,Miles College,AL,2,686.0,427.0,242.0,,,746.0,123.0,4000.0,4000.0,1250.0,1450.0,,600.0,1000.0,35.0,16.7,15.0
16,University of Mobile,AL,2,452.0,331.0,269.0,17.0,54.0,1417.0,301.0,6150.0,6150.0,,,70.0,550.0,1200.0,59.0,16.6,52.0
17,Oakwood College,AL,2,949.0,605.0,385.0,,,1316.0,135.0,6639.0,6639.0,,,368.0,600.0,2500.0,52.0,14.5,
18,Samford University,AL,2,1680.0,1395.0,691.0,34.0,76.0,2959.0,402.0,8236.0,8236.0,3700.0,,,569.0,1650.0,74.0,14.7,61.0
19,Spring Hill College,AL,2,773.0,694.0,230.0,,,942.0,224.0,11478.0,11478.0,2450.0,2338.0,645.0,500.0,900.0,80.0,14.4,70.0
20,Stillman College,AL,2,629.0,614.0,248.0,,,866.0,22.0,4460.0,4460.0,1683.0,1071.0,100.0,600.0,1000.0,47.0,14.3,47.0
21,Talladega College,AL,2,4414.0,1500.0,335.0,30.0,60.0,908.0,119.0,5666.0,5666.0,1424.0,1540.0,418.0,1000.0,1400.0,56.0,15.5,46.0
22,Troy State University at Troy,AL,1,1471.0,1281.0,824.0,18.0,67.0,4343.0,990.0,1697.0,2883.0,1450.0,1120.0,75.0,300.0,,50.0,23.0,48.0
23,Tuskegee University,AL,2,2267.0,1827.0,611.0,20.0,59.0,2825.0,144.0,6735.0,6735.0,3395.0,,,600.0,1425.0,70.0,12.2,65.0
24,University of Alabama at Tuscaloosa,AL,1,7593.0,5972.0,2682.0,,57.0,13780.0,1599.0,2172.0,5424.0,1600.0,1930.0,,580.0,1654.0,80.0,17.3,50.0
25,University of Alabama at Birmingham,AL,1,1797.0,1260.0,938.0,24.0,35.0,6960.0,4698.0,2220.0,4440.0,1935.0,3240.0,291.0,750.0,2200.0,96.0,6.7,33.0
26,University of Alabama at Huntsville,AL,1,1376.0,957.0,445.0,,57.0,2727.0,3394.0,2480.0,4960.0,2500.0,1000.0,,600.0,2100.0,83.0,12.7,38.0
27,University of South Alabama,AL,1,2328.0,2110.0,1047.0,,,7516.0,2943.0,2208.0,3108.0,1530.0,1320.0,183.0,480.0,1470.0,80.0,13.3,43.0
28,Auburn University at Montgomery,AL,1,985.0,868.0,645.0,,,3477.0,1929.0,1905.0,5715.0,1650.0,2780.0,,600.0,2500.0,74.0,18.1,42.0
29,University of Arkansas at Monticello,AR,1,826.0,794.0,662.0,,,4539.0,357.0,1536.0,3552.0,840.0,1470.0,84.0,500.0,2800.0,54.0,42.6,
30,University of Arkansas at Pine Bluff,AR,1,1450.0,1360.0,744.0,,,2993.0,1020.0,1392.0,3216.0,2328.0,,143.0,450.0,,47.0,16.2,
