Gender,Age,Debt,Married,BankCustomer,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,Income,Approved
Male,30.83,0,Married,Yes,White,1.25,Yes,1,1,0,1
Female,58.67,4.46,Married,Yes,Black,3.04,Yes,1,6,560,1
Female,24.5,0.5,Married,Yes,Black,1.5,Yes,0,0,824,1
Male,27.83,1.54,Married,Yes,White,3.75,Yes,1,5,3,1
Male,20.17,5.625,Married,Yes,White,1.71,Yes,0,0,0,1
Male,32.08,4,Married,Yes,White,2.5,Yes,0,0,0,1
Male,33.17,1.04,Married,Yes,Black,6.5,Yes,0,0,31285,1
Female,22.92,11.585,Married,Yes,White,0.04,Yes,0,0,1349,1
Male,54.42,0.5,Single,No,Black,3.96,Yes,0,0,314,1
Male,42.5,4.915,Single,No,White,3.165,Yes,0,0,1442,1
Male,22.08,0.83,Married,Yes,Black,2.165,No,0,0,0,1
Male,29.92,1.835,Married,Yes,Black,4.335,Yes,0,0,200,1
Female,38.25,6,Married,Yes,White,1,Yes,0,0,0,1
Male,48.08,6.04,Married,Yes,White,0.04,No,0,0,2690,1
Female,45.83,10.5,Married,Yes,White,5,Yes,1,7,0,1
Male,36.67,4.415,Single,No,White,0.25,Yes,1,10,0,1
Male,28.25,0.875,Married,Yes,White,0.96,Yes,1,3,0,1
Female,23.25,5.875,Married,Yes,White,3.17,Yes,1,10,245,1
Male,21.83,0.25,Married,Yes,Black,0.665,Yes,0,0,0,1
Female,19.17,8.585,Married,Yes,Black,0.75,Yes,1,7,0,1
Male,25,11.25,Married,Yes,White,2.5,Yes,1,17,1208,1
Male,23.25,1,Married,Yes,White,0.835,Yes,0,0,0,1
Female,47.75,8,Married,Yes,White,7.875,Yes,1,6,1260,1
Female,27.42,14.5,Married,Yes,Black,3.085,Yes,1,1,11,1
Female,41.17,6.5,Married,Yes,White,0.5,Yes,1,3,0,1
Female,15.83,0.585,Married,Yes,Black,1.5,Yes,1,2,0,1
Female,47,13,Married,Yes,Asian,5.165,Yes,1,9,0,1
Male,56.58,18.5,Married,Yes,Asian,15,Yes,1,17,0,1
Male,57.42,8.5,Married,Yes,Black,7,Yes,1,3,0,1
Male,42.08,1.04,Married,Yes,White,5,Yes,1,6,10000,1
Male,29.25,14.79,Married,Yes,White,5.04,Yes,1,5,0,1
Male,42,9.79,Married,Yes,Black,7.96,Yes,1,8,0,1
Male,49.5,7.585,Married,Yes,Asian,7.585,Yes,1,15,5000,1
Female,36.75,5.125,Married,Yes,White,5,Yes,0,0,4000,1
Female,22.58,10.75,Married,Yes,White,0.415,Yes,1,5,560,1
Male,27.83,1.5,Married,Yes,White,2,Yes,1,11,35,1
Male,27.25,1.585,Married,Yes,Black,1.835,Yes,1,12,713,1
Female,23,11.75,Married,Yes,Black,0.5,Yes,1,2,551,1
Male,27.75,0.585,Single,No,White,0.25,Yes,1,2,500,1
Male,54.58,9.415,Married,Yes,Latino,14.415,Yes,1,11,300,1
Male,34.17,9.17,Married,Yes,White,4.5,Yes,1,12,221,1
Male,28.92,15,Married,Yes,Black,5.335,Yes,1,11,2283,1
Male,29.67,1.415,Married,Yes,Black,0.75,Yes,1,1,100,1
Male,39.58,13.915,Married,Yes,White,8.625,Yes,1,6,0,1
Male,56.42,28,Single,No,White,28.5,Yes,1,40,15,1
Male,54.33,6.75,Married,Yes,Black,2.625,Yes,1,11,284,1
Female,41,2.04,Single,No,Black,0.125,Yes,1,23,1236,1
Male,31.92,4.46,Married,Yes,Black,6.04,Yes,1,3,300,1
Male,41.5,1.54,Married,Yes,Asian,3.5,No,0,0,0,1
Male,23.92,0.665,Married,Yes,White,0.165,No,0,0,0,1
Female,25.75,0.5,Married,Yes,Black,0.875,Yes,0,0,0,1
Male,26,1,Married,Yes,White,1.75,Yes,0,0,0,1
Male,37.42,2.04,Married,Yes,White,0.04,Yes,0,0,5800,1
Male,34.92,2.5,Married,Yes,White,0,Yes,0,0,200,1
Male,34.25,3,Married,Yes,Black,7.415,Yes,0,0,0,1
Male,23.33,11.625,Single,No,White,0.835,Yes,0,0,300,1
