type,days_for_shipment__scheduled,benefit_per_order,late_delivery_risk,department_name,market,order_item_discount_rate,product_price,transaction_id
TRANSFER,4,-249.0899963,1,Fitness,PacificAsia,0.050000001,327.75,T1
CASH,4,-247.7799988,0,Fitness,PacificAsia,0.059999999,327.75,T2
DEBIT,4,22.86000061,0,Fitness,PacificAsia,0.07,327.75,T3
PAYMENT,4,134.2100067,0,Fitness,PacificAsia,0.090000004,327.75,T4
TRANSFER,4,18.57999992,0,Fitness,PacificAsia,0.100000001,327.75,T5
DEBIT,1,95.18000031,1,Fitness,PacificAsia,0.119999997,327.75,T6
TRANSFER,1,68.43000031,1,Fitness,PacificAsia,0.129999995,327.75,T7
CASH,2,133.7200012,1,Fitness,PacificAsia,0.150000006,327.75,T8
CASH,1,132.1499939,1,Fitness,PacificAsia,0.159999996,327.75,T9
TRANSFER,2,130.5800018,0,Fitness,PacificAsia,0.170000002,327.75,T10
TRANSFER,2,45.68999863,1,Fitness,PacificAsia,0.180000007,327.75,T11
TRANSFER,2,21.76000023,1,Fitness,PacificAsia,0.200000003,327.75,T12
DEBIT,1,24.57999992,1,Fitness,PacificAsia,0.25,327.75,T13
TRANSFER,1,16.38999939,1,Fitness,PacificAsia,0,327.75,T14
DEBIT,1,-259.5799866,1,Fitness,PacificAsia,0.01,327.75,T15
PAYMENT,2,-246.3600006,1,Fitness,PacificAsia,0.02,327.75,T16
CASH,1,23.84000015,1,Fitness,PacificAsia,0.029999999,327.75,T17
DEBIT,1,102.2600021,1,Fitness,PacificAsia,0.039999999,327.75,T18
PAYMENT,0,87.18000031,0,Fitness,PacificAsia,0.050000001,327.75,T19
TRANSFER,0,154.8600006,0,Fitness,PacificAsia,0.059999999,327.75,T20
TRANSFER,4,82.30000305,1,Fitness,PacificAsia,0.07,327.75,T21
TRANSFER,2,22.37000084,1,Fitness,PacificAsia,0.090000004,327.75,T22
TRANSFER,2,17.70000076,0,Fitness,,0.100000001,327.75,T23
TRANSFER,2,90.27999878,0,Fitness,PacificAsia,0.119999997,327.75,T24
DEBIT,2,131.1699982,1,Fitness,PacificAsia,0.129999995,327.75,T25
TRANSFER,2,90.54000092,1,Fitness,PacificAsia,0.150000006,327.75,T26
PAYMENT,4,82.58999634,0,Fitness,PacificAsia,0.159999996,327.75,T27
DEBIT,4,-17.13999939,0,Fitness,PacificAsia,0.170000002,327.75,T28
TRANSFER,4,23.64999962,0,,PacificAsia,0.180000007,327.75,T29
DEBIT,4,73.41999817,1,Fitness,PacificAsia,0.200000003,327.75,T30
DEBIT,4,113.0699997,1,Fitness,PacificAsia,0.25,327.75,T31
PAYMENT,4,24.57999992,0,Fitness,PacificAsia,0,327.75,T32
DEBIT,1,-97.33999634,1,Fitness,PacificAsia,0.01,327.75,T33
PAYMENT,1,-425.5799866,1,Fitness,PacificAsia,0.02,327.75,T34
PAYMENT,1,152.6000061,1,Fitness,PacificAsia,0.029999999,327.75,T35
CASH,1,151.0299988,1,Fitness,PacificAsia,0.039999999,327.75,T36
DEBIT,1,62.27000046,1,Fitness,PacificAsia,0.050000001,327.75,T37
DEBIT,0,35,1,Fitness,PacificAsia,0.059999999,327.75,T38
TRANSFER,0,57.29999924,0,Fitness,PacificAsia,0.07,327.75,T39
PAYMENT,0,143.1600037,1,Fitness,PacificAsia,0.090000004,327.75,T40
DEBIT,0,135.6900024,1,Fitness,PacificAsia,0.100000001,327.75,T41
CASH,4,132.6699982,0,Fitness,PacificAsia,0.119999997,327.75,T42
PAYMENT,4,119.7600021,0,Fitness,PacificAsia,0.129999995,327.75,T43
DEBIT,4,31.47999954,0,Fitness,PacificAsia,0.150000006,327.75,T44
TRANSFER,4,86.16999817,1,Fitness,PacificAsia,0.159999996,327.75,T45
TRANSFER,2,130.5800018,1,Fitness,PacificAsia,0.170000002,327.75,T46
TRANSFER,4,0,0,Fitness,PacificAsia,0.180000007,327.75,T47
PAYMENT,2,-30.75,1,Apparel,PacificAsia,0.039999999,59.99000168,T48
PAYMENT,2,-122.7300034,0,Golf,PacificAsia,0.01,39.99000168,T49
PAYMENT,,33.59999847,1,Golf,PacificAsia,0.039999999,50,T50
PAYMENT,2,24.69000053,0,Golf,PacificAsia,0.050000001,39.99000168,T51
PAYMENT,2,9.100000381,1,Golf,PacificAsia,0.090000004,50,T52
PAYMENT,2,-21.75,1,Golf,PacificAsia,0.129999995,50,T53
PAYMENT,2,6.150000095,1,,PacificAsia,0.180000007,50,T54
PAYMENT,2,22.40999985,0,Footwear,USCA,0.170000002,44.99000168,T55
PAYMENT,2,25.23999977,1,Footwear,USCA,0.180000007,54.97000122,T56
PAYMENT,2,30.5699997,1,Apparel,USCA,0.02,59.99000168,T57
PAYMENT,2,46.0699997,1,Apparel,USCA,0.200000003,59.99000168,T58
PAYMENT,2,-184.7799988,0,Footwear,Africa,0.119999997,99.98999786,T59
PAYMENT,2,38.75,1,Golf,Africa,0.050000001,39.99000168,T60
PAYMENT,2,-3.650000095,1,Outdoors,Africa,0.029999999,21.98999977,T61
PAYMENT,2,38.22999954,1,Outdoors,Africa,0.170000002,31.98999977,T62
PAYMENT,2,129.3500061,1,Footwear,Europe,0.02,99.98999786,T63
PAYMENT,2,132.2899933,0,Footwear,Europe,0.100000001,99.98999786,T64
PAYMENT,2,76.04000092,1,Footwear,Europe,0.25,99.98999786,T65
PAYMENT,2,81.12999725,1,Apparel,Europe,0.02,59.99000168,T66
PAYMENT,2,43.52000046,0,Apparel,Europe,0.07,59.99000168,T67
PAYMENT,2,68.77999878,1,Apparel,Europe,0.090000004,59.99000168,T68
PAYMENT,2,40.49000168,1,Apparel,Europe,0.100000001,59.99000168,T69
PAYMENT,2,20.93000031,0,Golf,Europe,0.07,50,T70
PAYMENT,2,12.19999981,1,Golf,Europe,0.100000001,39.99000168,T71
PAYMENT,2,12.71000004,,Golf,Europe,0.25,50,T72
PAYMENT,2,7.760000229,1,Outdoors,Europe,0.159999996,21.98999977,T73
PAYMENT,2,101.3899994,1,Footwear,,0,99.98999786,T74
PAYMENT,2,-285.0700073,1,Apparel,LATAM,0.01,59.99000168,T75
PAYMENT,2,42.74000168,1,Apparel,LATAM,0.050000001,59.99000168,T76
PAYMENT,2,49.3199997,1,Apparel,LATAM,0.059999999,59.99000168,T77
PAYMENT,2,80.33999634,1,Apparel,LATAM,0.07,59.99000168,T78
PAYMENT,2,-26.69000053,1,Apparel,LATAM,0.090000004,59.99000168,T79
PAYMENT,2,-117.3300018,1,Apparel,LATAM,0.150000006,59.99000168,T80
PAYMENT,2,47.88000107,1,Apparel,LATAM,0.150000006,59.99000168,T81
PAYMENT,2,72,1,Golf,LATAM,0,50,T82
PAYMENT,2,29.94000053,1,Golf,LATAM,0.039999999,39.99000168,T83
PAYMENT,2,23.46999931,1,Golf,LATAM,0.039999999,50,T84
PAYMENT,2,68.40000153,1,Golf,LATAM,0.050000001,50,T85
PAYMENT,2,43.65999985,1,Golf,LATAM,0.07,50,T86
PAYMENT,2,13.19999981,0,Golf,LATAM,0.119999997,50,T87
PAYMENT,2,46.20000076,1,Golf,LATAM,0.119999997,50,T88
PAYMENT,2,10.43999958,1,Golf,LATAM,0.129999995,50,T89
PAYMENT,2,15.56000042,1,Golf,LATAM,0.170000002,50,T90
PAYMENT,2,32.86000061,1,Golf,LATAM,0.170000002,39.99000168,T91
TRANSFER,4,9.600000381,1,Golf,LATAM,0.039999999,50,T92
TRANSFER,4,55.09000015,1,Golf,LATAM,0.050000001,39.99000168,T93
TRANSFER,4,68.58999634,0,Golf,LATAM,0.059999999,39.99000168,T94
TRANSFER,4,51.97999954,0,Golf,LATAM,0.059999999,50,T95
TRANSFER,4,-23.62999916,1,Golf,LATAM,0.059999999,50,T96
TRANSFER,4,66.88999939,0,Golf,LATAM,0.090000004,30,T97
TRANSFER,4,11.46000004,0,Golf,LATAM,0.090000004,39.99000168,T98
TRANSFER,4,22.5,1,Golf,LATAM,0.100000001,50,T99
TRANSFER,4,67.5,0,Golf,LATAM,0.100000001,50,T100
TRANSFER,4,78.27999878,0,Golf,LATAM,0.129999995,39.99000168,T101
TRANSFER,4,104.4000015,0,Golf,LATAM,0.129999995,50,T102
TRANSFER,4,47.84999847,0,Golf,LATAM,0.129999995,50,T103
TRANSFER,4,44.18999863,0,Golf,LATAM,0.150000006,39.99000168,T104
TRANSFER,4,8.5,0,Golf,LATAM,0.150000006,50,T105
TRANSFER,4,83.98000336,0,Golf,LATAM,0.159999996,39.99000168,T106
TRANSFER,4,70.13999939,1,Golf,LATAM,0.170000002,50,T107
,4,72.62999725,1,Golf,LATAM,,50,T108
TRANSFER,4,-140,0,Golf,LATAM,0.200000003,50,T109
